Ce nu uita niciodata Tatae?,Banii pa show
,Heroina
,Cartieru
,Veteranii
,
De cate ori se intreaba Catalina?,De multe ori
,de 3 ori
,de 2 ori
,niciodata
,
Cand ii mai vezi razand pe borfasi?,cand au seringa-n vene
,cand beau o bere
,cand cumpara o vedere
,cand saluta un nene
,
Ce vine a doua dupa mama?,Viata
,Pensia
,Garda
,Scoala
,
Cine intelege mai bine versul lu tatae?,Veteranii
,Gaozarii
,Garda
,Adrian Suciu
,
Cine aresteaza microfonul?,Baietii de miezul noptii
,puscaria
,drogatii
,golanii
,
Cum stau pa lac?,Ca o ratusca.
,Ca un castor.
,Ca o barca.
,Ca pula.
,
Unde este cartierul in anul 2000?,tot aici
,in germania
,in austria
,pe DN1
,
Cui multumeste Villy?,"dumnezeului lui, easy E"
,parintilor
,guvernului
,politiei
,
,
A cui e lumea?,A mea.
,A lui Basescu.
,A poporului.
,A lui Dumnezeu.
,
Din Audi 80 acum e?,600SEL
,A4
,A6
,Golf 5
,
Cum trebuie sa fii in cartier?(varianta cu raspuns multiplu),Prea baiat.
,Sa stai drept.
,Sa nu lasi capu plecat.
,Smecher.
,
Cine stie daca gresesc?,Numai Dumnezeu.
,Basescu.
,Doamna diriginte.
,Nimeni.
,
Cine n-a coborat niciodata in cartier?,Un senator
,Loredana Groza
,Politia
,Tatae
,
,
Unde nu dau bagabontii din Salajan?,Inapoi.
,Ce mortii ma-sii? E BUG aici nu La Muilia!
,La ficat.
,In femei.
,
,
A cui sa fie mama lor ? ,A Dracu' sa fie .
,A lui Uzzi.
,A nimanui.
,A lu' Stifler .
,
Ce NU iti spune Uzzi ca gasesti pe strada ?,Pesti si bulangii.
,Copii si drogurile.
,Cartierul si veteranii.
,"Armele, drogurile."
,
Cat se agita fraierii?,prea mulT
,destul de putin
,moderat
,putin de tot
,
Cate motive ai sa fii cum vrei sa fii?,2000
,3
,1
,50231
,
Care este numele?,intotdeauna pentru totdeauna
,tarfele
,mamele
,joint
,
Ce conteaza pentru Tatae?,"Familia, tovarasii, fanii, banii si cu anii"
,Masina
,"Lidl, Kaufland, Auchan si Carefour"
,"Tarfele, tovarasii, golanii si cu anii"
,
Cu ce se poate compara sintagma totul sau nimic?,cu fenta lui Dobrin
,cu Lacatus fara minge
,cu Hagi fara picior
,cu Dodel fara tatuaje
,
De ce ti-ai face poze cu mafia?,ca sa te futa femeia ta cum face campioana lu Tatae
,pentru albumul de clasa a12a
,pentru autograf
,ca esti fraier
,
Cat timp petrece Pantelimonu?,toata noaptea
,toata dupamasa
,toata ziua
,3 saptamani
,
Cati gabori da Uzii pe 30 de femei?,3 mii.
,1 doi si 3 de zero.
,Coaie.
,Strada.
,
Ce faci inainte de bairam?,dai o raita prin oras
,te parfumezi
,faci dus
,te imbraci
,
Cu ce face avere un amic de-alu Tatae?,cu durex
,cu mobila second hand
,cu mingi de fotbal
,cu drogul marihuana
